Řádek 2404 | nazev_zakazky: OBJ/35/04/021395/2024 - odborné určení ceny železničního mostu (objekt č. 604), který byl vybudován v rámci stavby č. 0075 MO Zlíchov – Radlická | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: JAROSLAV SEMRÁD | smluvni_cena_bez_dph_kc: 18500.0 | datum_uzavreni_smlouvy: 2024-08-09
Řádek 2446 | nazev_zakazky: stavba č. 42 821 Dvorecký most | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: České vysoké učení technické v Praze | smluvni_cena_bez_dph_kc: 67000.0 | datum_uzavreni_smlouvy: 2026-04-09
Řádek 2480 | nazev_zakazky: Objedná GP - č. p. 851 v k. ú. Černý Most | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: AZIMUT CZ s.r.o. | smluvni_cena_bez_dph_kc: 20000.0 | datum_uzavreni_smlouvy: 2023-08-07
Řádek 2505 | nazev_zakazky: Zajištění služby - odstranění a likvidace kotvení stromů a výsadba stromu na Prašném mostě | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Martin Nezhyba | smluvni_cena_bez_dph_kc: 15560.0 | datum_uzavreni_smlouvy: 2021-06-11
Řádek 2517 | nazev_zakazky: Právní služby k prodeji pozemků v k.ú. Stodůlky, Libeň, Černý Most – květen 2023 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Balcar Petr, JUDr., advokát | smluvni_cena_bez_dph_kc: 147660.0 | datum_uzavreni_smlouvy: 2023-05-05
Řádek 2584 | nazev_zakazky: Zajištění výkonu TDS při opravě vozovky a vod. osvětlení v TKB - č.9515 MO Myslbekova-Prašný most | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: VIS, a.s. | smluvni_cena_bez_dph_kc: 19580.0 | datum_uzavreni_smlouvy: 2021-04-20
Řádek 2590 | nazev_zakazky: Objednávka ZP - pozemky parc. č. 5/4, 84/1, 84/2, 84/3, 139, 143, 159/3, 162, 165, 168/1, 169, 211, 213, 216, 217, 218, 219, 220 k. ú. Černý Most | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: JAROSLAV SEMRÁD | smluvni_cena_bez_dph_kc: 32000.0 | datum_uzavreni_smlouvy: 2023-03-03
Řádek 2784 | nazev_zakazky: Právní služby k prodeji pozemků v k.ú. Stodůlky a Černý Most –listopad 2024 | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Besser Karolina, JUDr., advokát | smluvni_cena_bez_dph_kc: 148350.0 | datum_uzavreni_smlouvy: 2024-11-04
Řádek 2903 | nazev_zakazky: č.44813 Lávka Uhříněves, obj. na služby - běžná mostní prohlídka | faze_zakazky: Ukončeno plnění smlouvy | nazev_smluvniho_partnera: Mott MacDonald CZ, spol. s r.o. | smluvni_cena_bez_dph_kc: 6500.0 | datum_uzavreni_smlouvy: 2023-08-07
Řádek 3217 | nazev_zakazky: Objednávka propagace na akci „Svatý Martin na Karlově mostě“ | faze_zakazky: Dokončen/Zadán | nazev_smluvniho_partnera: Muzeum Karlova mostu s.r.o. | smluvni_cena_bez_dph_kc: 48000.0 | datum_uzavreni_smlouvy: 2023-11-02
